N,Triton,Torch,Paddle
256.0,0.1,0.0,0.0
384.0,0.1,0.0,0.1
512.0,0.1,0.0,0.1
640.0,0.2,0.0,0.1
768.0,0.2,0.0,0.1
896.0,0.3,0.0,0.1
1024.0,0.3,0.0,0.2
1152.0,0.3,0.0,0.2
1280.0,0.4,0.0,0.2
1408.0,0.4,0.0,0.2
1536.0,0.4,0.0,0.2
1664.0,0.5,0.0,0.3
1792.0,0.5,0.0,0.3
1920.0,0.6,0.0,0.3
2048.0,0.6,0.0,0.3
2176.0,0.6,0.0,0.3
2304.0,0.7,0.0,0.4
2432.0,0.7,0.0,0.4
2560.0,0.8,0.0,0.4
2688.0,0.8,0.0,0.4
2816.0,0.9,0.0,0.5
2944.0,0.9,0.0,0.5
3072.0,1.0,0.0,0.5
3200.0,1.0,0.0,0.5
3328.0,1.1,0.0,0.5
3456.0,1.1,0.0,0.6
3584.0,1.2,0.0,0.6
3712.0,1.3,0.0,0.6
3840.0,1.3,0.0,0.6
3968.0,1.3,0.0,0.7
4096.0,1.4,0.0,0.7
4224.0,1.5,0.0,0.7
4352.0,1.6,0.0,0.7
4480.0,1.6,0.0,0.8
4608.0,1.7,0.0,0.8
4736.0,1.8,0.0,0.8
4864.0,1.9,0.0,0.8
4992.0,1.9,0.0,0.8
5120.0,2.0,0.0,0.9
5248.0,2.1,0.0,0.9
5376.0,2.1,0.0,0.9
5504.0,2.2,0.0,0.9
5632.0,2.2,0.0,1.0
5760.0,2.3,0.0,1.0
5888.0,2.4,0.0,1.0
6016.0,2.4,0.0,1.0
6144.0,2.4,0.0,1.1
6272.0,2.5,0.0,1.1
6400.0,2.5,0.0,1.1
6528.0,2.5,0.0,1.1
6656.0,2.5,0.0,1.2
6784.0,2.7,0.0,1.2
6912.0,2.7,0.0,1.2
7040.0,2.9,0.0,1.2
7168.0,3.0,0.0,1.2
7296.0,3.1,0.0,1.3
7424.0,3.2,0.0,1.3
7552.0,3.4,0.0,1.3
7680.0,3.5,0.0,1.3
7808.0,3.7,0.0,1.3
7936.0,3.7,0.0,1.3
8064.0,4.6,0.0,1.4
8192.0,3.8,0.0,1.4
8320.0,7.7,0.0,1.4
8448.0,5.2,0.0,1.4
8576.0,4.9,0.0,1.5
8704.0,5.6,0.0,1.5
8832.0,6.4,0.0,1.5
8960.0,6.0,0.0,1.5
9088.0,7.1,0.0,1.6
9216.0,5.3,0.0,1.6
9344.0,6.7,0.0,1.6
9472.0,7.5,0.0,1.6
9600.0,6.1,0.0,1.7
9728.0,7.2,0.0,1.7
9856.0,7.5,0.0,1.7
9984.0,8.5,0.0,1.7
10112.0,8.6,0.0,1.8
10240.0,7.6,0.0,1.8
10368.0,8.0,0.0,1.8
10496.0,8.2,0.0,1.8
10624.0,8.6,0.0,1.8
10752.0,8.7,0.0,1.8
10880.0,8.7,0.0,1.9
11008.0,9.0,0.0,1.9
11136.0,9.4,0.0,1.9
11264.0,9.3,0.0,1.9
11392.0,8.8,0.0,2.0
11520.0,9.8,0.0,2.0
11648.0,8.7,0.0,2.0
11776.0,10.7,0.0,2.0
11904.0,9.3,0.0,2.1
12032.0,11.1,0.0,2.1
12160.0,10.4,0.0,2.1
12288.0,9.4,0.0,2.1
12416.0,9.8,0.0,2.1
12544.0,10.9,0.0,2.2
12672.0,11.0,0.0,2.2
